#{"t_start": 1747523962.9248097, "env_id": "None"}
r,l,t
6.0459685,11,55.04344
3.4900558,9,55.087559
5.4853764,9,55.129754
4.909205,10,55.176431
5.9,11,55.222808
2.1000001,10,55.276038
6.62221,10,55.321543
4.2704124,9,55.366373
3.3524072,11,55.416792
5.3072596,10,55.465144
6.288734,9,55.514128
8.6424465,10,55.559443
4.0,8,55.597177
1.3999999,8,55.636872
2.45,9,55.684894
7.241676,11,55.751756
3.877795,9,55.805388
1.4,7,55.851164
2.6,8,55.889033
1.8604822,10,55.931207
2.6,8,55.967156
4.392292,7,55.997432
0.20000005,9,56.037041
4.398894,8,56.074672
3.8074791,8,56.107498
0.75,8,56.146293
0.45,10,56.189037
8.56694,10,56.237947
2.80649,8,56.287386
2.55,8,56.320286
4.7,8,56.357728
7.6497617,9,56.402591
5.7514257,9,56.462132
1.95,10,56.529306
6.207596,9,56.591657
5.658187,11,56.642694
6.4932194,10,56.71539
1.25,8,56.76176
6.2719045,11,56.84021
5.4078465,11,56.896846
1.25,8,56.948567
4.095259,9,57.001231
3.578293,10,57.04701
2.6855288,10,57.098349
4.2410965,8,57.142989
3.7552292,10,57.201725
5.386406,8,57.239459
3.9522624,9,57.295231
3.6706069,10,57.355749
2.454821,10,57.408246
5.546579,9,57.471287
1.5999999,9,57.538595
6.979931,10,57.595051
0.39999998,11,57.66073
2.4499998,6,57.68793
6.133255,8,57.723787
9.333138,10,57.768344
4.084111,10,57.81553
3.1131518,10,57.882951
5.060488,9,57.931377
3.44708,11,57.996146
4.1540933,10,58.040416
4.2970095,10,58.090132
4.6262865,10,58.145066
4.244355,9,58.198825
1.9000001,9,58.251737
3.25,10,58.328123
3.0232894,10,58.392613
3.786406,10,58.44644
7.437736,10,58.512769
4.7841053,8,58.564736
4.3984165,9,58.689596
8.075894,9,58.742539
3.3827653,10,58.788096
3.15,7,58.820596
3.804543,11,58.906765
3.9500008,10,58.974454
3.0029156,10,59.045882
4.2203913,11,59.116638
1.8,9,59.173585
4.990301,8,59.225809
2.8070786,10,59.294968
5.397847,10,59.357297
3.35,9,59.409299
3.6269932,10,59.475205
4.8415422,10,59.5374
5.326125,11,59.621817
6.905903,10,59.697004
4.7889967,11,59.775799
5.3004894,10,59.832325
9.169012,10,62.686316
2.8739798,10,62.741975
3.8633687,10,62.814346
3.9934444,9,62.874596
5.217183,9,62.932816
2.4499998,10,62.996398
8.13077,10,63.046763
9.575003,10,63.094068
7.3861275,10,63.144337
4.6036935,9,63.18416
4.662428,11,63.254817
3.469708,10,63.346734
4.3339043,9,63.414789
8.714065,10,63.490279
5.33008,10,63.548953
6.274842,11,63.600721
6.1490154,10,63.656338
4.227398,9,63.699722
3.7499998,10,63.763833
1.8,7,63.815842
6.595713,9,63.864699
4.8303404,8,63.900301
3.7693708,11,63.959365
4.716827,9,64.003517
8.17123,9,64.068966
4.25,9,64.110217
5.605077,9,64.163641
3.6046724,9,64.217017
1.0,8,64.274147
6.214697,10,64.385568
5.139377,10,64.451645
3.5430655,8,64.504527
7.297989,11,64.566421
1.5,9,64.61836
2.650972,9,64.668631
2.1499999,9,64.729293
10.4485655,10,64.794333
7.9294443,10,64.873657
0.65,9,64.940011
5.7495737,11,65.006258
3.2382433,11,65.065205
6.311106,10,65.107061
8.096334,10,65.171744
4.604478,7,65.20433
6.5490084,10,65.255965
8.387047,9,65.306499
1.55,10,65.384786
6.5345964,10,65.433067
3.6472888,10,65.495185
1.5743772,11,65.56653
5.85502,8,65.616484
4.263781,10,65.66298
4.451413,8,65.696211
5.246433,9,65.740296
9.185668,9,65.782255
3.6089697,9,65.825321
9.463405,10,65.904274
2.106819,10,65.952565
4.374586,8,66.004545
7.5998607,10,66.067297
4.5,10,66.128736
2.8848789,10,66.189529
3.9501588,10,66.239947
4.16387,8,66.275995
6.15289,8,66.314999
2.55,10,66.388906
2.1,9,66.444842
2.7,10,66.493494
7.162902,11,66.561457
4.3983746,9,66.615671
4.410425,8,66.67269
-0.5,11,66.724884
6.7894354,11,66.776277
5.461566,10,66.822034
4.476589,10,66.875245
5.900731,9,66.924547
4.865983,11,66.987574
6.2622657,11,67.056924
3.165815,9,67.116158
4.7557135,11,67.20778
2.1000001,10,67.258277
3.2092676,10,67.303992
4.9064145,10,67.381398
8.590649,9,67.427365
3.9685943,10,67.479459
4.4708786,11,67.527807
6.1720033,9,67.57252
3.89177,9,67.611263
8.725241,9,67.656194
4.759242,10,67.742853
6.127328,11,67.848071
7.4751744,10,67.918236
4.9363823,10,67.982701
7.0842075,10,68.039525
4.239782,10,68.085485
4.8,9,68.126586
6.4632053,11,68.173904
5.895859,10,68.219949
2.1565526,9,68.256866
3.3502345,11,68.318743
3.8099313,11,68.388312
4.168077,11,68.441603
4.689521,11,68.489388
3.5723958,12,68.567508
4.9359636,11,68.626579
3.59569,10,71.564267
2.834054,9,71.601207
8.247414,10,71.646766
8.16537,9,71.693344
2.9579577,9,71.753313
3.2312727,9,71.792639
9.5289135,9,71.847373
2.8225894,9,71.890354
2.6941247,9,71.940287
6.1146836,10,71.992069
0.6999999,9,72.032344
3.7955482,9,72.086909
3.520156,10,72.161303
1.1,10,72.211436
2.75,8,72.255044
2.2439592,11,72.337703
3.2451096,9,72.379933
4.600442,9,72.444091
7.434173,9,72.49559
5.013706,10,72.560729
5.132963,10,72.618659
6.7766304,9,72.675931
4.1834507,9,72.717257
5.6792126,9,72.773249
2.845376,10,72.816353
5.13939,10,72.881592
4.25,7,72.925552
0.74999994,8,72.967309
3.5626488,10,73.021949
4.55,8,73.071175
3.6526573,10,73.124337
2.7970529,11,73.185663
2.9,7,73.230677
2.3753712,10,73.292379
4.15,8,73.334432
7.071795,10,73.3929
5.732397,10,73.463884
4.618892,9,73.515759
7.9917493,10,73.561121
3.2000003,10,73.623069
3.5173607,10,73.701867
2.6187391,10,73.754642
0.54999995,9,73.804994
4.3353395,8,73.859115
4.9221725,10,73.92297
9.15849,10,74.001052
4.1500006,11,74.067883
9.362572,10,74.115142
3.7520335,10,74.159984
3.4,10,74.209507
4.358304,10,74.264768
0.14999999,9,74.326315
5.505424,10,74.395866
4.1809196,10,74.46721
4.9010134,11,74.538349
8.126039,9,74.603288
5.971287,9,74.648616
5.413745,10,74.69433
5.7916574,10,74.750411
5.370272,10,74.817635
6.7062206,10,74.879463
4.5791545,10,74.930616
4.3,9,74.979149
7.2396817,9,75.033911
8.10342,10,75.090029
2.15,10,75.162016
4.3,9,75.209285
5.066435,11,75.272271
5.7204986,9,75.318786
2.2699125,10,75.379622
5.477343,9,75.420452
4.2938538,9,75.493524
8.473822,10,75.562384
2.6126916,10,75.608137
7.9961195,11,75.659837
2.35,8,75.693022
-0.65000004,10,75.749319
4.970308,9,75.794044
5.4200487,11,75.869469
2.4198546,10,75.935473
7.700103,10,76.024378
3.95,9,76.102248
8.359635,10,76.164603
9.150895,10,76.239264
1.25,10,76.316966
2.65,8,76.369008
5.615143,11,76.433003
4.258712,10,76.514293
7.55581,9,76.572725
5.7356653,10,76.634227
4.75,9,76.698699
4.9079294,10,76.776903
5.764327,10,76.836698
3.6409445,10,76.883721
8.944218,9,76.923898
1.25,9,76.966263
6.8243103,10,77.017232
8.81649,10,77.05856
0.15,9,77.114877
8.199115,10,77.160073
2.5,7,77.195431
7.577586,10,77.260973
7.0040607,10,77.330467
7.2453523,9,77.382962
3.6035855,7,77.413963
4.356333,10,77.495853
7.5816803,8,77.557862
7.7802014,11,77.628245
5.3412695,11,80.368301
6.1509132,10,80.441215
2.3970463,10,80.517626
8.337582,10,80.579773
4.8047347,11,80.665125
5.278353,10,80.733232
1.25,7,80.762778
7.3846884,9,80.807549
6.0314837,9,80.858553
5.25,9,80.912391
4.8717513,9,80.983428
4.906792,10,81.050205
8.037689,10,81.167058
5.54266,11,81.248802
0.9999997,10,81.299171
8.893969,9,81.341375
5.280366,9,81.385494
6.1849585,10,81.435959
1.85,8,81.467992
2.50456,10,81.538052
6.2523656,11,81.613317
4.0838623,11,81.664781
1.3,8,81.700646
4.829943,10,81.746159
6.180044,9,81.791738
9.198365,10,81.856261
1.6,10,81.906549
3.313127,11,81.97899
3.0542321,9,82.052943
4.5812063,8,82.104941
6.022103,11,82.189355
6.1957846,10,82.235357
1.25,10,82.280076
3.4742098,10,82.324859
4.4511466,10,82.382481
2.5727637,10,82.438793
3.4614978,8,82.485568
4.2410603,9,82.538841
7.923952,10,82.590294
8.690073,10,82.640995
5.906302,10,82.700711
3.2301617,11,82.755392
2.280631,11,82.804991
5.409274,10,82.856847
7.116564,10,82.900723
7.003932,8,82.937516
3.2510674,10,82.985078
5.2,7,83.014136
2.75,9,83.059845
7.828844,10,83.130281
3.9709492,10,83.203481
2.7,8,83.239797
4.54773,10,83.282842
7.7840624,10,83.343103
4.8671856,10,83.391855
2.4111278,10,83.450411
8.699762,10,83.509938
6.5172014,9,83.577933
2.575472,8,83.618706
3.7242782,10,83.663035
0.8499999,8,83.713843
-0.049999982,9,83.756019
7.196892,10,83.805328
5.4500003,9,83.86245
5.453937,10,83.936222
5.009523,10,84.01123
2.799039,9,84.074443
6.767308,11,84.132696
5.977631,11,84.194985
4.7727795,10,84.258457
7.1517506,9,84.299884
8.167311,12,84.365975
6.8945513,11,84.44623
3.7068093,10,84.513
-0.6,10,84.580019
4.95,9,84.623121
8.72752,10,84.668386
0.15,10,84.719948
1.1999999,8,84.755077
5.4888268,11,84.838722
6.7859793,9,84.896707
4.8494415,11,84.952231
6.044166,10,85.030482
3.2659893,9,85.098323
3.9429536,10,85.165261
7.4638495,9,85.222297
4.2142334,10,85.303161
6.4974604,9,85.373444
5.2832937,10,85.44218
6.348673,9,85.484518
4.54228,10,85.568732
4.1683407,8,85.613472
2.0163388,12,85.67329
7.996966,11,85.722637
8.050502,11,85.774402
0.75,9,85.81617
3.211485,8,85.851197
8.09382,9,85.897382
4.25,9,85.951561
0.65,10,86.035773
4.166177,10,86.08544
3.222226,9,86.125754
7.480858,10,86.16806
7.3925495,10,86.213417
3.7353454,11,86.263031
5.7898026,10,90.236601
8.661088,10,90.302038
3.836557,9,90.369235
8.662316,11,90.438437
7.5057945,10,90.50177
6.080903,10,90.573678
2.6635337,10,90.627112
3.484769,10,90.672418
7.1075926,11,90.727485
5.757456,11,90.822702
4.845828,11,90.885154
3.8897126,10,90.930941
6.4000435,10,90.987943
3.464087,11,91.049869
2.5955615,10,91.099973
5.3425083,9,91.147199
3.1975942,11,91.218091
6.9470305,10,91.259164
4.402612,10,91.315273
7.237815,10,91.366469
1.4499999,10,91.423428
1.25,9,91.464643
3.417583,10,91.545402
1.7327647,10,91.611367
6.721279,10,91.672356
0.75,8,91.721424
5.427286,12,91.790126
9.210525,10,91.865012
3.428578,9,91.907457
2.9666932,9,91.961796
3.3573484,9,92.002123
5.207754,10,92.053324
4.1944075,9,92.094792
6.48138,10,92.147524
3.75,7,92.203205
7.5489287,10,92.28438
4.953161,9,92.339142
7.5611305,10,92.394173
3.0000002,11,92.452438
5.7395782,10,92.497297
8.64354,10,92.563386
6.21748,9,92.621621
3.2,10,92.676149
4.7520866,11,92.733045
8.340349,10,92.786913
3.3177342,10,92.834468
3.2964191,10,92.923482
7.2772493,11,93.00153
7.017468,9,93.054049
4.925034,9,93.107452
6.8728437,11,93.179906
5.873087,10,93.24846
7.913856,10,93.303517
6.734813,10,93.35414
1.4000001,9,93.411171
5.155909,10,93.45356
5.9041815,9,93.498678
2.904585,10,93.562477
6.4656343,10,93.614352
7.4030566,10,93.682619
5.889145,10,93.747164
7.5887146,10,93.809247
4.475958,11,93.889719
4.3650875,11,93.950484
8.443467,10,93.998482
7.0252194,10,94.047482
6.0816536,9,94.085377
7.149181,10,94.15347
