steps,total_reward,max_alert_level,final_alert_level,total_data_exfiltrated,final_nodes_compromised,nodes_compromised_history,alert_level_history,data_exfiltrated_history,resources_left,action_distribution,model
10,2.45,0.05,0.05,0.0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[9, 1, 0, 0, 0, 0]",DQN
10,5.006854683520328,0.15606854683520327,0.15606854683520327,0.060685468352032874,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.15, 0.15, 0.15359609218948414, 0.15360154276203544, 0.155421257626443, 0.15579048591930006, 0.15606854683520327]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.03596092189484142, 0.03601542762035447, 0.054212576264429824, 0.05790485919300067, 0.060685468352032874]",0,"[2, 1, 2, 0, 5, 0]",DQN
10,4.110469806084587,0.15410469806084587,0.15410469806084587,0.041046980608458634,1,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.15, 0.15410469806084587]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041046980608458634]",0,"[6, 1, 2, 0, 1, 0]",DQN
10,3.4427184309418215,0.4519271843094182,0.4519271843094182,0.01927184309418214,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.15, 0.3, 0.44999999999999996, 0.44999999999999996, 0.4514225379065851, 0.4519271843094182]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014225379065851161, 0.01927184309418214]",0,"[3, 1, 4, 0, 2, 0]",DQN
10,1.85,0.0,0.0,0.0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[9, 1, 0, 0, 0, 0]",DQN
10,5.0447841735530625,0.1559478417355306,0.1559478417355306,0.05947841735530622,1,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.15, 0.15, 0.15050619390417022, 0.15238462731213157, 0.15312152881839, 0.15555086403254198, 0.1557313980904299, 0.1559478417355306]","[0.0, 0.0, 0.0, 0.0, 0.0050619390417023435, 0.02384627312131579, 0.031215288183900063, 0.05550864032541984, 0.057313980904299136, 0.05947841735530622]",0,"[1, 1, 2, 0, 6, 0]",DQN
10,4.417144156679572,0.0041714415667957125,0.0041714415667957125,0.041714415667957125,1,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0035275758650643294, 0.0041714415667957125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035275758650643294, 0.041714415667957125]",0,"[6, 1, 1, 0, 2, 0]",DQN
10,2.6704775814686634,0.8512047758146867,0.8512047758146867,0.012047758146866382,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.1, 0.1, 0.25, 0.4, 0.55, 0.7000000000000001, 0.8500000000000001, 0.8500000000000001, 0.8512047758146867]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012047758146866382]",0,"[1, 2, 6, 0, 1, 0]",DQN
10,3.1771127681097915,0.5042711276810979,0.5042711276810979,0.04271127681097916,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.1, 0.2, 0.2, 0.35, 0.5, 0.5, 0.5003199574019469, 0.5037350648814483, 0.5042711276810979]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031995740194685537, 0.03735064881448187, 0.04271127681097916]",0,"[1, 3, 3, 0, 3, 0]",DQN
10,5.143363524718105,0.10643363524718104,0.10643363524718104,0.06433635247181047,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.1005208726667859, 0.10128257896844196, 0.10357770925488445, 0.10524910297988527, 0.10643363524718104]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.005208726667859026, 0.012825789684419709, 0.035777092548844584, 0.052491029798852784, 0.06433635247181047]",0,"[2, 2, 1, 0, 5, 0]",DQN
10,4.013555825065659,0.2066355582506566,0.2066355582506566,0.06635558250656579,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.1, 0.2, 0.2, 0.2, 0.20422397609037626, 0.20521817766933015, 0.20568480273744053, 0.20646482433121915, 0.2066355582506566]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04223976090376255, 0.05218177669330127, 0.05684802737440496, 0.06464824331219121, 0.06635558250656579]",0,"[1, 3, 1, 0, 5, 0]",DQN
10,0.050000000000000044,0.05,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
10,4.476244877116599,0.15576244877116602,0.15576244877116602,0.057624487711659976,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0.05, 0.05, 0.05, 0.05, 0.15000000000000002, 0.15000000000000002, 0.15000000000000002, 0.15243231095490878, 0.15508961727323856, 0.15576244877116602]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02432310954908761, 0.05089617273238543, 0.057624487711659976]",0,"[4, 2, 1, 0, 3, 0]",DQN
10,1.890840414682741,0.10140840414682742,0.10140840414682742,0.01408404146827412,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.10140840414682742]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01408404146827412]",0,"[7, 2, 0, 0, 1, 0]",DQN
10,3.0,0.25,0.25,0.0,1,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.25, 0.25]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[6, 2, 2, 0, 0, 0]",DQN
10,5.385160373401697,0.006851603734016971,0.006851603734016971,0.0685160373401697,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0006614800599187143, 0.002762810434456243, 0.00394724424741522, 0.005544882859637112, 0.0063114839645758, 0.006851603734016971]","[0.0, 0.0, 0.0, 0.0, 0.006614800599187143, 0.027628104344562428, 0.03947244247415219, 0.05544882859637111, 0.063114839645758, 0.0685160373401697]",0,"[2, 1, 1, 0, 6, 0]",DQN
10,5.133070875893596,0.15683070875893595,0.15683070875893595,0.06830708758935962,1,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.15, 0.15, 0.1522256205050945, 0.15498052356095687, 0.15582859435583593, 0.15647380685217757, 0.15680600032904735, 0.15683070875893595]","[0.0, 0.0, 0.0, 0.0, 0.022256205050945003, 0.04980523560956876, 0.0582859435583594, 0.06473806852177576, 0.06806000329047361, 0.06830708758935962]",0,"[1, 1, 2, 0, 6, 0]",DQN
10,3.9938058471709144,0.05393805847170914,0.05393805847170914,0.03938058471709137,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.05, 0.05, 0.05, 0.05, 0.051081398185370164, 0.05202585694898222, 0.05326224870601457, 0.05393805847170914]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010813981853701584, 0.020258569489822187, 0.032622487060145706, 0.03938058471709137]",0,"[4, 1, 1, 0, 4, 0]",DQN
10,0.050000000000000044,0.0,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
